scenario,snr_db,method,rmse_deg,median_rmspe_deg,n
advanced2_crowded,-5.0,Root-MUSIC,9.006423950195312,1.3570657968521118,1000
advanced2_crowded,-5.0,ReconUNet+Root-MUSIC,4.873623371124268,1.4460465908050537,1000
advanced2_crowded,-5.0,FBSS(L=5)+Root-MUSIC,12.509054183959961,4.903193473815918,1000
advanced2_crowded,-5.0,FBSS(L=6)+Root-MUSIC,11.330892562866211,3.182990789413452,1000
advanced2_crowded,-5.0,FBSS(L=7)+Root-MUSIC,9.899921417236328,2.287095069885254,1000
advanced2_crowded,0.0,Root-MUSIC,8.870640754699707,1.2913941144943237,1000
advanced2_crowded,0.0,ReconUNet+Root-MUSIC,4.8037495613098145,1.429929494857788,1000
advanced2_crowded,0.0,FBSS(L=5)+Root-MUSIC,12.419709205627441,4.696633815765381,1000
advanced2_crowded,0.0,FBSS(L=6)+Root-MUSIC,11.303519248962402,3.1289420127868652,1000
advanced2_crowded,0.0,FBSS(L=7)+Root-MUSIC,9.609519004821777,2.224916934967041,1000
advanced2_crowded,5.0,Root-MUSIC,8.929028511047363,1.2601759433746338,1000
advanced2_crowded,5.0,ReconUNet+Root-MUSIC,4.765787601470947,1.420323371887207,1000
advanced2_crowded,5.0,FBSS(L=5)+Root-MUSIC,12.35587215423584,4.679713249206543,1000
advanced2_crowded,5.0,FBSS(L=6)+Root-MUSIC,11.08940315246582,3.112588882446289,1000
advanced2_crowded,5.0,FBSS(L=7)+Root-MUSIC,9.567451477050781,2.2297558784484863,1000
advanced2_crowded,10.0,Root-MUSIC,8.814213752746582,1.2582173347473145,1000
advanced2_crowded,10.0,ReconUNet+Root-MUSIC,4.765285968780518,1.429443359375,1000
advanced2_crowded,10.0,FBSS(L=5)+Root-MUSIC,12.369884490966797,4.691703796386719,1000
advanced2_crowded,10.0,FBSS(L=6)+Root-MUSIC,11.029504776000977,3.1025161743164062,1000
advanced2_crowded,10.0,FBSS(L=7)+Root-MUSIC,9.619353294372559,2.2402052879333496,1000
advanced2_crowded,15.0,Root-MUSIC,8.814018249511719,1.253519058227539,1000
advanced2_crowded,15.0,ReconUNet+Root-MUSIC,4.787261962890625,1.4310047626495361,1000
advanced2_crowded,15.0,FBSS(L=5)+Root-MUSIC,12.385265350341797,4.711228370666504,1000
advanced2_crowded,15.0,FBSS(L=6)+Root-MUSIC,11.090731620788574,3.1063690185546875,1000
advanced2_crowded,15.0,FBSS(L=7)+Root-MUSIC,9.647534370422363,2.2462735176086426,1000
advanced2_crowded,20.0,Root-MUSIC,8.814254760742188,1.2544591426849365,1000
advanced2_crowded,20.0,ReconUNet+Root-MUSIC,4.787447929382324,1.418203592300415,1000
advanced2_crowded,20.0,FBSS(L=5)+Root-MUSIC,12.460539817810059,4.682117462158203,1000
advanced2_crowded,20.0,FBSS(L=6)+Root-MUSIC,11.087983131408691,3.105659008026123,1000
advanced2_crowded,20.0,FBSS(L=7)+Root-MUSIC,9.647500038146973,2.2469630241394043,1000
