snr_db,method,median_abs_err_deg,pooled_rmse_deg,mean_abs_err_deg,frac_gt_1deg,frac_gt_3deg,frac_gt_5deg,n
20.0,MUSIC-grid,0.2685811998024775,0.3714855125186332,0.3049511718399221,0.002,0.0,0.0,1000
20.0,MUSIC-refined,0.19239235523246573,5.302089506733808,0.5608942558084462,0.006,0.006,0.006,1000
20.0,Root-MUSIC,0.14703454077243805,0.2292288988828659,0.18195950984954834,0.0,0.0,0.0,1000
0.0,MUSIC-grid,0.2701408510403945,0.3800582317046734,0.31017276464269516,0.006,0.0,0.0,1000
0.0,MUSIC-refined,0.18751140923134785,3.972224451865591,0.44978727924093465,0.006,0.005,0.005,1000
0.0,Root-MUSIC,0.162602037191391,0.25092947483062744,0.19824688136577606,0.0,0.0,0.0,1000
