variant,eval_set,pooled_rmse_deg,median_rmspe_deg,cov_err_frob,subspace_dist_projF,eigengap_err,n_scenes
01_full,paper_test,9.223517417907715,1.2815570831298828,0.35658517782814253,0.5337704844912002,0.12778364135644532,12000
01_full,moderate_0dB,4.044791221618652,0.8196240663528442,0.2696367147618287,0.3658039257706901,0.0850651202119076,1000
01_full,crowded_0dB,9.388370513916016,2.00187349319458,0.3844241517917859,0.7793694544348548,0.21832027544350097,1000
01_full,paper_test_fixed_imperf,9.251399040222168,1.2612357139587402,0.3564285099985428,0.5331613031722177,0.12741989279753071,12000
02_rec_only,paper_test,7.274778842926025,1.0009913444519043,0.2875652947966253,0.37972814943359084,0.13395207839954737,12000
02_rec_only,moderate_0dB,3.686203956604004,0.6113601326942444,0.21061878929994463,0.23134283817579196,0.08517112041587424,1000
02_rec_only,crowded_0dB,7.014782905578613,1.6639528274536133,0.32637800008387474,0.5692207852253306,0.20801971601872246,1000
03_rec_proj,paper_test,7.031985759735107,1.0079374313354492,0.2859158399045879,0.3763255178857165,0.13371891660972576,12000
03_rec_proj,moderate_0dB,3.6305832862854004,0.6069128513336182,0.2086100970724152,0.2267870214084706,0.08714606440727363,1000
03_rec_proj,crowded_0dB,6.708578109741211,1.6589397192001343,0.3255961514830997,0.5686898156249816,0.21736994499321174,1000
04_no_dom,paper_test,9.425833702087402,1.201709270477295,0.3646231162710099,0.5037973761431792,0.1207153248907103,12000
04_no_dom,moderate_0dB,4.145340442657471,0.7407770156860352,0.26624702087961444,0.3377665923695034,0.07096726110636331,1000
04_no_dom,crowded_0dB,9.998702049255371,2.0532126426696777,0.3978457055367927,0.7234576896774033,0.21291444852496255,1000
05_no_eig,paper_test,7.373498916625977,1.055120587348938,0.2905031524401383,0.4171243476825803,0.15617297009475983,12000
05_no_eig,moderate_0dB,1.8451999425888062,0.6277955770492554,0.20706765695396193,0.2554287661920642,0.12962407029701373,1000
05_no_eig,crowded_0dB,7.195765972137451,1.705463171005249,0.3289812552809689,0.6309941258204445,0.22934115628612678,1000
06_single_lag,paper_test,9.870349884033203,1.273921251296997,0.3610878628782478,0.5511086692344751,0.13984476564131235,12000
06_single_lag,moderate_0dB,6.075747013092041,0.789494514465332,0.2699795471890549,0.36679199792663225,0.09969244321799232,1000
06_single_lag,crowded_0dB,9.537095069885254,2.034346103668213,0.383619142354903,0.7951441538628029,0.23757549561492255,1000
07_relu,paper_test,8.541604995727539,1.1781492233276367,0.3319922572307015,0.4943234875222383,0.10455153182290712,12000
07_relu,moderate_0dB,3.347625970840454,0.7423074245452881,0.2472133841498467,0.3337226094046216,0.06476549020064175,1000
07_relu,crowded_0dB,8.44459342956543,1.905893325805664,0.36709046245441745,0.727455420606691,0.19967250975953504,1000
08_no_evd_heads,paper_test,6.050111770629883,0.8445758819580078,0.2171070182626426,0.26485342429454417,0.2036030251624875,12000
08_no_evd_heads,moderate_0dB,1.8917992115020752,0.5198676586151123,0.1443756382571442,0.15293030170434885,0.12067234824019034,1000
08_no_evd_heads,crowded_0dB,4.712924480438232,1.337838888168335,0.2230547806338511,0.3934065393437706,0.2796846345070784,1000
09_fixed_imperf,paper_test,9.266085624694824,1.268214464187622,0.3551283286305329,0.5309024642534923,0.11933378786297902,12000
09_fixed_imperf,moderate_0dB,4.5375213623046875,0.8107720017433167,0.26610186739818426,0.3643744775669245,0.06560273473758563,1000
09_fixed_imperf,crowded_0dB,9.74222183227539,1.9954841136932373,0.38233705536914137,0.7691723823483687,0.20555996479465888,1000
09_fixed_imperf,paper_test_fixed_imperf,9.234960556030273,1.2284183502197266,0.3512634336429875,0.524289019617886,0.11908565573971394,12000
