angle_deg,Root-MUSIC,SubspaceNet,DA-MUSIC,ReconUNet + Root-MUSIC
-60.0,0.42231178283691406,0.8241261839866638,4.879757881164551,1.3311959505081177
-55.0,0.3370020091533661,0.44736355543136597,1.8411619663238525,0.4130665361881256
-50.0,0.3437449038028717,0.595027506351471,2.0505318641662598,0.33817142248153687
-45.0,0.2856901288032532,0.42103520035743713,2.8429131507873535,0.28984564542770386
-40.0,0.2779572904109955,0.854507565498352,2.807244300842285,0.37050002813339233
-35.0,0.24763153493404388,1.3064157962799072,2.0081567764282227,0.4393228590488434
-30.0,0.2372255176305771,0.42515844106674194,2.1626222133636475,0.33534303307533264
-25.0,0.22198939323425293,0.46415597200393677,2.2836551666259766,0.4279443621635437
-20.0,0.2022683322429657,0.2814740538597107,1.649987816810608,0.2446128875017166
-15.0,0.22370906174182892,0.2691342234611511,1.144435167312622,0.26592832803726196
-10.0,0.21968601644039154,0.668573796749115,1.5974881649017334,0.31045371294021606
-5.0,0.2099020630121231,0.35316601395606995,1.8268179893493652,0.2921336591243744
0.0,0.1830264776945114,0.378066748380661,1.3094123601913452,0.23380322754383087
5.0,0.2009977400302887,0.5865440964698792,1.9017137289047241,0.21904325485229492
10.0,0.1975310742855072,0.5186278223991394,2.366750717163086,0.35054492950439453
15.0,0.1983083188533783,0.3341004550457001,2.1906368732452393,0.2487361878156662
20.0,0.2068684846162796,0.6070578098297119,2.1038951873779297,0.2699018716812134
25.0,0.21039053797721863,0.34470683336257935,1.6447608470916748,0.23522423207759857
30.0,0.22886213660240173,0.36310380697250366,2.201591730117798,0.26983895897865295
35.0,0.2529372572898865,0.4480260908603668,2.0572800636291504,0.5196120738983154
40.0,0.29434773325920105,0.6817715764045715,2.2071125507354736,0.3981916010379791
45.0,0.3044710159301758,0.35162580013275146,2.587740659713745,0.42146599292755127
50.0,0.3183049261569977,0.39195844531059265,1.9746965169906616,0.35380351543426514
55.0,0.3379327654838562,0.4708382487297058,1.879353642463684,0.47570765018463135
60.0,0.3984032869338989,0.8977707624435425,4.841610908508301,0.9814358353614807
